2,11,10,4,9,5,12,14,16,3,8,6,7,1,15,13
8,7,4,1,12,13,10,15,16,9,11,14,5,2,3,6
14,3,9,5,16,2,15,8,6,7,13,12,10,4,11,1
5,15,6,2,10,1,11,13,7,8,3,9,16,12,14,4
9,10,2,13,3,6,4,11,12,5,15,1,7,14,16,8
12,1,8,16,11,14,9,4,13,6,10,3,15,5,7,2
6,12,14,7,15,8,3,2,11,16,4,13,9,1,10,5
1,9,15,10,13,4,16,7,5,14,2,8,6,3,12,11
7,5,13,3,14,16,6,1,10,12,11,2,4,8,9,15
3,6,1,11,8,15,7,9,4,13,5,16,2,10,8,14
16,4,12,6,2,11,8,10,15,1,9,5,14,13,7,3
10,2,5,12,1,7,14,16,8,11,6,15,13,9,4,9
11,14,3,15,4,9,1,5,2,10,7,6,12,16,13,16
15,8,7,9,5,12,2,6,1,4,16,10,11,13,5,3
13,16,11,8,7,3,5,12,9,2,1,4,8,6,15,10
4,13,16,14,6,10,13,3,14,15,12,7,1,11,2,9
